timestamp,date,time,followers_count,username
2025-10-02 08:59:00.184924,2025-10-02,08:59:00.184924,23,
2025-10-02 08:59:40.052524,2025-10-02,08:59:40.052524,23,
2025-10-02 10:02:00.474246,2025-10-02,10:02:00.474246,23,
2025-10-02 13:45:28.164922,2025-10-02,13:45:28.164922,23,
2025-10-02 14:03:54.165167,2025-10-02,14:03:54.165167,23,
2025-10-18 14:55:43.309690,2025-10-18,14:55:43.309690,24,
2025-10-18 10:17:40.255097,2025-10-18,10:17:40.255097,24,extrastaff.recruitment
2025-10-18 10:23:39.899321,2025-10-18,10:23:39.899321,24,extrastaff.recruitment
2025-10-18 10:28:52.358649,2025-10-18,10:28:52.358649,24,extrastaff.recruitment
2025-10-18 10:30:37.988326,2025-10-18,10:30:37.988326,24,extrastaff.recruitment
2025-10-18 10:38:40.707870,2025-10-18,10:38:40.707870,24,extrastaff.recruitment
2025-10-18 10:43:16.220566,2025-10-18,10:43:16.220566,24,extrastaff.recruitment
2025-10-18 10:49:09.600060,2025-10-18,10:49:09.600060,24,extrastaff.recruitment
2025-10-18 10:51:13.542142,2025-10-18,10:51:13.542142,24,extrastaff.recruitment
2025-10-18 10:52:27.538279,2025-10-18,10:52:27.538279,24,extrastaff.recruitment
2025-10-18 12:42:15.131842,2025-10-18,12:42:15.131842,24,extrastaff.recruitment
2025-10-18 13:36:03.115432,2025-10-18,13:36:03.115432,24,extrastaff.recruitment
2025-10-18 13:38:21.991554,2025-10-18,13:38:21.991554,24,extrastaff.recruitment
2025-10-18 13:39:57.265971,2025-10-18,13:39:57.265971,24,extrastaff.recruitment
2025-10-18 13:42:15.685736,2025-10-18,13:42:15.685736,24,extrastaff.recruitment
2025-10-18 13:44:06.219668,2025-10-18,13:44:06.219668,24,extrastaff.recruitment
2025-11-12 08:12:35.186231,2025-11-12,08:12:35.186231,29,extrastaff.recruitment
